transaction_id,user_id,day_offset,hour,amount_rub,merchant_type,delivery_flag
1,1,5,10,2350.50,2,1
2,1,12,15,1870.00,1,0
3,1,19,18,3240.00,2,1
4,1,26,12,1560.00,3,1
5,1,33,20,2800.00,2,0
6,1,40,14,2100.00,1,1
7,1,47,19,3450.00,2,1
8,1,54,11,1890.00,2,0
9,1,61,16,2950.00,1,1
10,1,68,9,420.00,0,0
11,1,75,13,2670.00,2,1
12,1,82,21,3100.00,2,1
13,2,3,18,1250.00,1,0
14,2,8,20,3400.00,2,1
15,2,15,19,2800.00,2,1
16,2,22,14,950.00,1,0
17,2,29,22,4100.00,2,1
18,2,36,17,1900.00,1,1
19,2,43,12,520.00,0,0
20,2,50,21,3550.00,2,1
21,2,57,16,1450.00,1,0
22,2,64,20,3900.00,2,1
23,2,71,18,2200.00,1,1
24,2,78,15,870.00,0,0
25,2,85,23,4750.00,2,1
26,2,92,18,3100.00,2,1
27,3,2,8,450.00,0,0
28,3,9,13,680.00,0,0
29,3,16,19,720.00,0,0
30,3,23,11,520.00,0,0
31,3,30,16,890.00,1,0
32,3,37,7,390.00,0,0
33,3,44,20,950.00,0,1
34,3,51,12,610.00,0,0
35,3,58,15,480.00,0,0
36,3,65,18,770.00,0,0
37,4,1,14,580.00,0,0
38,4,6,19,630.00,0,0
39,4,13,20,720.00,0,1
40,4,20,10,490.00,0,0
41,4,27,16,850.00,0,0
42,4,34,21,940.00,1,1
43,4,41,12,560.00,0,0
44,5,4,15,2850.00,2,1
45,5,11,20,3250.00,2,1
46,5,18,17,1900.00,1,0
47,5,25,13,4100.00,2,1
48,5,32,22,3550.00,2,1
49,5,39,10,1250.00,1,1
50,5,46,19,2850.00,2,1
51,5,53,14,2300.00,1,0
52,5,60,21,4900.00,2,1
53,5,67,16,1750.00,1,1
54,5,74,20,3650.00,2,1
55,5,81,12,1450.00,1,0
56,6,0,18,650.00,0,0
57,6,7,14,890.00,1,0
58,6,14,20,1250.00,1,1
59,6,21,11,520.00,0,0
60,6,28,19,2100.00,1,1
61,6,35,16,780.00,0,0
62,6,42,22,950.00,0,1
63,6,49,9,430.00,0,0
64,6,56,13,670.00,0,0
65,7,6,19,2150.00,2,1
66,7,13,16,1850.00,1,0
67,7,20,14,2780.00,2,1
68,7,27,21,3100.00,2,1
69,7,34,18,1400.00,1,1
70,7,41,12,890.00,0,0
71,7,48,20,2650.00,2,1
72,7,55,15,1790.00,1,0
73,7,62,23,3500.00,2,1
74,7,69,17,2250.00,1,1
75,7,76,10,650.00,0,0
76,7,83,19,2900.00,2,1
77,8,2,13,750.00,0,0
78,8,9,18,920.00,1,1
79,8,16,10,480.00,0,0
80,8,23,21,680.00,0,0
81,8,30,15,1110.00,1,0
82,8,37,8,390.00,0,0
83,8,44,19,850.00,0,1
84,8,51,12,560.00,0,0
85,9,1,20,3250.00,2,1
86,9,8,17,2890.00,2,1
87,9,15,14,1890.00,1,1
88,9,22,21,4100.00,2,1
89,9,29,13,2340.00,1,0
90,9,36,19,3550.00,2,1
91,9,43,16,1750.00,1,0
92,9,50,22,4950.00,2,1
